"Name","Date","All cause","Covid-19 Deaths"
"England",2020-04-10,240,95
"Barking and Dagenham",2020-04-10,0,0
"Barnet",2020-04-10,0,0
"Barnsley",2020-04-10,0,0
"Bath and North East Somerset",2020-04-10,1,0
"Bedford",2020-04-10,0,0
"Bexley",2020-04-10,3,3
"Birmingham",2020-04-10,10,2
"Blackburn with Darwen",2020-04-10,0,0
"Blackpool",2020-04-10,1,0
"Bolton",2020-04-10,2,1
"Bournemouth, Christchurch and Poole",2020-04-10,2,0
"Bracknell Forest",2020-04-10,0,0
"Bradford",2020-04-10,2,2
"Brent",2020-04-10,1,0
"Brighton and Hove",2020-04-10,0,0
"Bristol, City of",2020-04-10,2,1
"Bromley",2020-04-10,1,0
"Buckinghamshire",2020-04-10,1,1
"Bury",2020-04-10,1,1
"Calderdale",2020-04-10,0,0
"Cambridgeshire",2020-04-10,2,0
"Camden",2020-04-10,1,0
"Central Bedfordshire",2020-04-10,4,4
"Cheshire East",2020-04-10,2,1
"Cheshire West and Chester",2020-04-10,2,1
"Cornwall",2020-04-10,1,0
"County Durham",2020-04-10,2,0
"Coventry",2020-04-10,3,1
"Croydon",2020-04-10,1,0
"Cumbria",2020-04-10,4,3
"Darlington",2020-04-10,2,1
"Derby",2020-04-10,0,0
"Derbyshire",2020-04-10,1,0
"Devon",2020-04-10,0,0
"Doncaster",2020-04-10,0,0
"Dorset",2020-04-10,4,1
"Dudley",2020-04-10,0,0
"Ealing",2020-04-10,2,2
"East Riding of Yorkshire",2020-04-10,0,0
"East Sussex",2020-04-10,1,1
"Enfield",2020-04-10,3,2
"Essex",2020-04-10,4,1
"Gateshead",2020-04-10,1,1
"Gloucestershire",2020-04-10,3,3
"Greenwich",2020-04-10,0,0
"Hackney",2020-04-10,0,0
"Halton",2020-04-10,0,0
"Hammersmith and Fulham",2020-04-10,3,2
"Hampshire",2020-04-10,17,8
"Haringey",2020-04-10,0,0
"Harrow",2020-04-10,0,0
"Hartlepool",2020-04-10,0,0
"Havering",2020-04-10,0,0
"Herefordshire, County of",2020-04-10,1,1
"Hertfordshire",2020-04-10,14,3
"Hillingdon",2020-04-10,1,0
"Hounslow",2020-04-10,0,0
"Isle of Wight",2020-04-10,1,0
"Islington",2020-04-10,1,0
"Kensington and Chelsea",2020-04-10,0,0
"Kent",2020-04-10,6,3
"Kingston upon Hull, City of",2020-04-10,0,0
"Kingston upon Thames",2020-04-10,0,0
"Kirklees",2020-04-10,0,0
"Knowsley",2020-04-10,2,1
"Lambeth",2020-04-10,0,0
"Lancashire",2020-04-10,6,2
"Leeds",2020-04-10,1,1
"Leicester",2020-04-10,0,0
"Leicestershire",2020-04-10,2,2
"Lewisham",2020-04-10,1,0
"Lincolnshire",2020-04-10,3,1
"Liverpool",2020-04-10,2,1
"Luton",2020-04-10,1,0
"Manchester",2020-04-10,1,0
"Medway",2020-04-10,0,0
"Merton",2020-04-10,3,1
"Middlesbrough",2020-04-10,0,0
"Milton Keynes",2020-04-10,1,1
"Newcastle upon Tyne",2020-04-10,2,0
"Newham",2020-04-10,0,0
"Norfolk",2020-04-10,5,0
"North East Lincolnshire",2020-04-10,0,0
"North Lincolnshire",2020-04-10,1,0
"North Somerset",2020-04-10,1,0
"North Tyneside",2020-04-10,1,1
"North Yorkshire",2020-04-10,1,0
"Northamptonshire",2020-04-10,2,1
"Northumberland",2020-04-10,3,0
"Nottingham",2020-04-10,1,1
"Nottinghamshire",2020-04-10,0,0
"Oldham",2020-04-10,0,0
"Oxfordshire",2020-04-10,7,0
"Peterborough",2020-04-10,0,0
"Plymouth",2020-04-10,0,0
"Portsmouth",2020-04-10,0,0
"Reading",2020-04-10,0,0
"Redbridge",2020-04-10,1,0
"Redcar and Cleveland",2020-04-10,0,0
"Richmond upon Thames",2020-04-10,2,0
"Rochdale",2020-04-10,1,1
"Rotherham",2020-04-10,1,0
"Rutland",2020-04-10,0,0
"Salford",2020-04-10,1,0
"Sandwell",2020-04-10,2,1
"Sefton",2020-04-10,3,3
"Sheffield",2020-04-10,1,0
"Shropshire",2020-04-10,1,0
"Slough",2020-04-10,0,0
"Solihull",2020-04-10,0,0
"Somerset",2020-04-10,3,0
"South Gloucestershire",2020-04-10,1,0
"South Tyneside",2020-04-10,1,0
"Southampton",2020-04-10,0,0
"Southend-on-Sea",2020-04-10,1,0
"Southwark",2020-04-10,1,0
"St. Helens",2020-04-10,0,0
"Staffordshire",2020-04-10,4,3
"Stockport",2020-04-10,3,2
"Stockton-on-Tees",2020-04-10,0,0
"Stoke-on-Trent",2020-04-10,0,0
"Suffolk",2020-04-10,6,3
"Sunderland",2020-04-10,3,2
"Surrey",2020-04-10,12,5
"Sutton",2020-04-10,1,0
"Swindon",2020-04-10,1,1
"Tameside",2020-04-10,3,2
"Telford and Wrekin",2020-04-10,0,0
"Thurrock",2020-04-10,0,0
"Torbay",2020-04-10,0,0
"Tower Hamlets",2020-04-10,0,0
"Trafford",2020-04-10,0,0
"Wakefield",2020-04-10,2,1
"Walsall",2020-04-10,2,1
"Waltham Forest",2020-04-10,0,0
"Wandsworth",2020-04-10,0,0
"Warrington",2020-04-10,5,4
"Warwickshire",2020-04-10,0,0
"West Berkshire",2020-04-10,0,0
"West Sussex",2020-04-10,4,1
"Westminster",2020-04-10,0,0
"Wigan",2020-04-10,1,0
"Wiltshire",2020-04-10,2,0
"Windsor and Maidenhead",2020-04-10,4,0
"Wirral",2020-04-10,2,1
"Wokingham",2020-04-10,0,0
"Wolverhampton",2020-04-10,1,0
"Worcestershire",2020-04-10,1,1
"York",2020-04-10,2,0
"Notes:",2020-04-10,,
"1. Data provided by Care Quality Commission",2020-04-10,,
"2. Figures are for deaths CQC are notified of on the days specified. Figures only include deaths that were notified by 01 May 2020, and may be an underestimate due to notification delays.",2020-04-10,,
"3. Figures are for persons who were resident in and died in a care home",2020-04-10,,
"England",2020-04-11,143,46
"Barking and Dagenham",2020-04-11,1,1
"Barnet",2020-04-11,2,2
"Barnsley",2020-04-11,1,0
"Bath and North East Somerset",2020-04-11,0,0
"Bedford",2020-04-11,0,0
"Bexley",2020-04-11,0,0
"Birmingham",2020-04-11,3,2
"Blackburn with Darwen",2020-04-11,0,0
"Blackpool",2020-04-11,1,0
"Bolton",2020-04-11,0,0
"Bournemouth, Christchurch and Poole",2020-04-11,0,0
"Bracknell Forest",2020-04-11,0,0
"Bradford",2020-04-11,1,0
"Brent",2020-04-11,2,2
"Brighton and Hove",2020-04-11,1,0
"Bristol, City of",2020-04-11,3,0
"Bromley",2020-04-11,1,0
"Buckinghamshire",2020-04-11,3,0
"Bury",2020-04-11,0,0
"Calderdale",2020-04-11,0,0
"Cambridgeshire",2020-04-11,0,0
"Camden",2020-04-11,1,0
"Central Bedfordshire",2020-04-11,1,0
"Cheshire East",2020-04-11,1,0
"Cheshire West and Chester",2020-04-11,0,0
"Cornwall",2020-04-11,2,0
"County Durham",2020-04-11,2,0
"Coventry",2020-04-11,1,1
"Croydon",2020-04-11,0,0
"Cumbria",2020-04-11,2,2
"Darlington",2020-04-11,0,0
"Derby",2020-04-11,2,1
"Derbyshire",2020-04-11,0,0
"Devon",2020-04-11,1,1
"Doncaster",2020-04-11,0,0
"Dorset",2020-04-11,0,0
"Dudley",2020-04-11,1,0
"Ealing",2020-04-11,0,0
"East Riding of Yorkshire",2020-04-11,3,1
"East Sussex",2020-04-11,2,0
"Enfield",2020-04-11,3,2
"Essex",2020-04-11,5,2
"Gateshead",2020-04-11,0,0
"Gloucestershire",2020-04-11,1,0
"Greenwich",2020-04-11,1,0
"Hackney",2020-04-11,0,0
"Halton",2020-04-11,0,0
"Hammersmith and Fulham",2020-04-11,1,1
"Hampshire",2020-04-11,5,1
"Haringey",2020-04-11,0,0
"Harrow",2020-04-11,1,0
"Hartlepool",2020-04-11,0,0
"Havering",2020-04-11,0,0
"Herefordshire, County of",2020-04-11,0,0
"Hertfordshire",2020-04-11,8,0
"Hillingdon",2020-04-11,0,0
"Hounslow",2020-04-11,1,0
"Isle of Wight",2020-04-11,0,0
"Islington",2020-04-11,0,0
"Kensington and Chelsea",2020-04-11,0,0
"Kent",2020-04-11,7,1
"Kingston upon Hull, City of",2020-04-11,0,0
"Kingston upon Thames",2020-04-11,0,0
"Kirklees",2020-04-11,0,0
"Knowsley",2020-04-11,0,0
"Lambeth",2020-04-11,1,1
"Lancashire",2020-04-11,3,1
"Leeds",2020-04-11,1,0
"Leicester",2020-04-11,1,0
"Leicestershire",2020-04-11,0,0
"Lewisham",2020-04-11,0,0
"Lincolnshire",2020-04-11,1,1
"Liverpool",2020-04-11,1,0
"Luton",2020-04-11,0,0
"Manchester",2020-04-11,2,1
"Medway",2020-04-11,0,0
"Merton",2020-04-11,0,0
"Middlesbrough",2020-04-11,0,0
"Milton Keynes",2020-04-11,0,0
"Newcastle upon Tyne",2020-04-11,1,0
"Newham",2020-04-11,0,0
"Norfolk",2020-04-11,3,0
"North East Lincolnshire",2020-04-11,1,0
"North Lincolnshire",2020-04-11,1,0
"North Somerset",2020-04-11,0,0
"North Tyneside",2020-04-11,0,0
"North Yorkshire",2020-04-11,4,2
"Northamptonshire",2020-04-11,2,1
"Northumberland",2020-04-11,0,0
"Nottingham",2020-04-11,0,0
"Nottinghamshire",2020-04-11,4,3
"Oldham",2020-04-11,0,0
"Oxfordshire",2020-04-11,0,0
"Peterborough",2020-04-11,1,1
"Plymouth",2020-04-11,0,0
"Portsmouth",2020-04-11,0,0
"Reading",2020-04-11,0,0
"Redbridge",2020-04-11,0,0
"Redcar and Cleveland",2020-04-11,1,0
"Richmond upon Thames",2020-04-11,0,0
"Rochdale",2020-04-11,0,0
"Rotherham",2020-04-11,2,0
"Rutland",2020-04-11,0,0
"Salford",2020-04-11,0,0
"Sandwell",2020-04-11,0,0
"Sefton",2020-04-11,2,1
"Sheffield",2020-04-11,6,3
"Shropshire",2020-04-11,0,0
"Slough",2020-04-11,0,0
"Solihull",2020-04-11,0,0
"Somerset",2020-04-11,0,0
"South Gloucestershire",2020-04-11,0,0
"South Tyneside",2020-04-11,0,0
"Southampton",2020-04-11,0,0
"Southend-on-Sea",2020-04-11,0,0
"Southwark",2020-04-11,0,0
"St. Helens",2020-04-11,0,0
"Staffordshire",2020-04-11,0,0
"Stockport",2020-04-11,1,0
"Stockton-on-Tees",2020-04-11,0,0
"Stoke-on-Trent",2020-04-11,0,0
"Suffolk",2020-04-11,4,1
"Sunderland",2020-04-11,0,0
