"Name","Date","Period","Data_completeness","Cumulative_cases","Seven_day_average_new_cases","Seven_day_average_cumulative_cases","Cumulative_per_100000","Log10Cumulative_cases","New_cases","New_cases_per_100000","Case_label","Rate_label","Proportion_label","Seven_day_ave_cumulative_label","Seven_day_ave_new_label","new_case_key","new_case_per_100000_key","Days_since_case_x","Days_since_first_case","period_in_reverse","Double_time","date_range_label","double_time_label_1","double_time_label_2"
"England",2020-01-30,"30 January","Complete",1,,,0.00178644232476314,0,1,0.00178644232476314,"The total (cumulative) number of cases reported for people with specimens taken by this date (30 January) was 1. A total of 1 patients who had sample specimens taken on this day (representing new cases) were confirmed to have the virus.","The total (cumulative) number of Covid-19 cases per 100,000 population reported to date (30 January) is <b>0</b> cases per 100,000 population. The new cases (swabbed on this date) represent <b>0</b> cases per 100,000 population</p><p><i>Note: the rate per 100,000 is rounded to the nearest whole number, and sometimes this can appear as zero even when there were some cases reported.</i>","The new cases for patients swabbed on this day represent <b>100%</b> of the total cumulative number of Covid-19 cases reported up to 30 January (<b>1</b>).","It is not possible to calculate a seven day rolling average of new cases for this date (30 January) because one of the values in the last seven days is missing.","It is not possible to calculate a seven day rolling average of new cases for this date (30 January) because one of the values in the last seven days is missing.","1-10 cases","No new cases",-9,0,,,," The total (cumulative) number of cases on this day was 1","The doubling time is calculated using data for every 7 day period starting from the latest available complete date (26 May) back to the date on which the first confirmed patient was swabbed for testing. Although there are data for this day, there are not enough data points to calculate a doubling time."
"England",2020-01-31,"31 January","Complete",2,,,0.00357288464952628,0.301029995663981,1,0.00178644232476314,"The total (cumulative) number of cases reported for people with specimens taken by this date (31 January) was 2. A total of 1 patients who had sample specimens taken on this day (representing new cases) were confirmed to have the virus.","The total (cumulative) number of Covid-19 cases per 100,000 population reported to date (31 January) is <b>0</b> cases per 100,000 population. The new cases (swabbed on this date) represent <b>0</b> cases per 100,000 population</p><p><i>Note: the rate per 100,000 is rounded to the nearest whole number, and sometimes this can appear as zero even when there were some cases reported.</i>","The new cases for patients swabbed on this day represent <b>50%</b> of the total cumulative number of Covid-19 cases reported up to 31 January (<b>2</b>).","It is not possible to calculate a seven day rolling average of new cases for this date (31 January) because one of the values in the last seven days is missing.","It is not possible to calculate a seven day rolling average of new cases for this date (31 January) because one of the values in the last seven days is missing.","1-10 cases","No new cases",-8,1,,,," The total (cumulative) number of cases on this day was 2","The doubling time is calculated using data for every 7 day period starting from the latest available complete date (26 May) back to the date on which the first confirmed patient was swabbed for testing. Although there are data for this day, there are not enough data points to calculate a doubling time."
"England",2020-02-01,"01 February","Complete",2,,,0.00357288464952628,0.301029995663981,0,0,"The total (cumulative) number of cases reported for people with specimens taken by this date (01 February) was 2. A total of 0 patients who had sample specimens taken on this day (representing new cases) were confirmed to have the virus.","The total (cumulative) number of Covid-19 cases per 100,000 population reported to date (01 February) is <b>0</b> cases per 100,000 population. The new cases (swabbed on this date) represent <b>0</b> cases per 100,000 population</p><p><i>Note: the rate per 100,000 is rounded to the nearest whole number, and sometimes this can appear as zero even when there were some cases reported.</i>","The new cases for patients swabbed on this day represent <b>0%</b> of the total cumulative number of Covid-19 cases reported up to 01 February (<b>2</b>).","It is not possible to calculate a seven day rolling average of new cases for this date (01 February) because one of the values in the last seven days is missing.","It is not possible to calculate a seven day rolling average of new cases for this date (01 February) because one of the values in the last seven days is missing.","No new cases","No new cases",-7,2,,,," The total (cumulative) number of cases on this day was 2","The doubling time is calculated using data for every 7 day period starting from the latest available complete date (26 May) back to the date on which the first confirmed patient was swabbed for testing. Although there are data for this day, there are not enough data points to calculate a doubling time."
"England",2020-02-02,"02 February","Complete",2,,,0.00357288464952628,0.301029995663981,0,0,"The total (cumulative) number of cases reported for people with specimens taken by this date (02 February) was 2. A total of 0 patients who had sample specimens taken on this day (representing new cases) were confirmed to have the virus.","The total (cumulative) number of Covid-19 cases per 100,000 population reported to date (02 February) is <b>0</b> cases per 100,000 population. The new cases (swabbed on this date) represent <b>0</b> cases per 100,000 population</p><p><i>Note: the rate per 100,000 is rounded to the nearest whole number, and sometimes this can appear as zero even when there were some cases reported.</i>","The new cases for patients swabbed on this day represent <b>0%</b> of the total cumulative number of Covid-19 cases reported up to 02 February (<b>2</b>).","It is not possible to calculate a seven day rolling average of new cases for this date (02 February) because one of the values in the last seven days is missing.","It is not possible to calculate a seven day rolling average of new cases for this date (02 February) because one of the values in the last seven days is missing.","No new cases","No new cases",-6,3,,,," The total (cumulative) number of cases on this day was 2","The doubling time is calculated using data for every 7 day period starting from the latest available complete date (26 May) back to the date on which the first confirmed patient was swabbed for testing. Although there are data for this day, there are not enough data points to calculate a doubling time."
"England",2020-02-03,"03 February","Complete",8,,,0.0142915385981051,0.903089986991944,6,0.0107186539485788,"The total (cumulative) number of cases reported for people with specimens taken by this date (03 February) was 8. A total of 6 patients who had sample specimens taken on this day (representing new cases) were confirmed to have the virus.","The total (cumulative) number of Covid-19 cases per 100,000 population reported to date (03 February) is <b>0</b> cases per 100,000 population. The new cases (swabbed on this date) represent <b>0</b> cases per 100,000 population</p><p><i>Note: the rate per 100,000 is rounded to the nearest whole number, and sometimes this can appear as zero even when there were some cases reported.</i>","The new cases for patients swabbed on this day represent <b>75%</b> of the total cumulative number of Covid-19 cases reported up to 03 February (<b>8</b>).","It is not possible to calculate a seven day rolling average of new cases for this date (03 February) because one of the values in the last seven days is missing.","It is not possible to calculate a seven day rolling average of new cases for this date (03 February) because one of the values in the last seven days is missing.","1-10 cases","No new cases",-5,4,,,," The total (cumulative) number of cases on this day was 8","The doubling time is calculated using data for every 7 day period starting from the latest available complete date (26 May) back to the date on which the first confirmed patient was swabbed for testing. Although there are data for this day, there are not enough data points to calculate a doubling time."
"England",2020-02-04,"04 February","Complete",8,,,0.0142915385981051,0.903089986991944,0,0,"The total (cumulative) number of cases reported for people with specimens taken by this date (04 February) was 8. A total of 0 patients who had sample specimens taken on this day (representing new cases) were confirmed to have the virus.","The total (cumulative) number of Covid-19 cases per 100,000 population reported to date (04 February) is <b>0</b> cases per 100,000 population. The new cases (swabbed on this date) represent <b>0</b> cases per 100,000 population</p><p><i>Note: the rate per 100,000 is rounded to the nearest whole number, and sometimes this can appear as zero even when there were some cases reported.</i>","The new cases for patients swabbed on this day represent <b>0%</b> of the total cumulative number of Covid-19 cases reported up to 04 February (<b>8</b>).","It is not possible to calculate a seven day rolling average of new cases for this date (04 February) because one of the values in the last seven days is missing.","It is not possible to calculate a seven day rolling average of new cases for this date (04 February) because one of the values in the last seven days is missing.","No new cases","No new cases",-4,5,,,," The total (cumulative) number of cases on this day was 8","The doubling time is calculated using data for every 7 day period starting from the latest available complete date (26 May) back to the date on which the first confirmed patient was swabbed for testing. Although there are data for this day, there are not enough data points to calculate a doubling time."
"England",2020-02-05,"05 February","Complete",9,1.28571428571429,4.57142857142857,0.0160779809228682,0.954242509439325,1,0.00178644232476314,"The total (cumulative) number of cases reported for people with specimens taken by this date (05 February) was 9. A total of 1 patients who had sample specimens taken on this day (representing new cases) were confirmed to have the virus.","The total (cumulative) number of Covid-19 cases per 100,000 population reported to date (05 February) is <b>0</b> cases per 100,000 population. The new cases (swabbed on this date) represent <b>0</b> cases per 100,000 population</p><p><i>Note: the rate per 100,000 is rounded to the nearest whole number, and sometimes this can appear as zero even when there were some cases reported.</i>","The new cases for patients swabbed on this day represent <b>11.1%</b> of the total cumulative number of Covid-19 cases reported up to 05 February (<b>9</b>).","The rolling average number of cumulative cases in the last seven days is <b>5 cases</b>.","The rolling average number of new cases in the last seven days is <b>1  cases</b>.","1-10 cases","No new cases",-3,6,,,," The total (cumulative) number of cases on this day was 9","The doubling time is calculated using data for every 7 day period starting from the latest available complete date (26 May) back to the date on which the first confirmed patient was swabbed for testing. Although there are data for this day, there are not enough data points to calculate a doubling time."
"England",2020-02-06,"06 February","Complete",9,1.14285714285714,5.71428571428571,0.0160779809228682,0.954242509439325,0,0,"The total (cumulative) number of cases reported for people with specimens taken by this date (06 February) was 9. A total of 0 patients who had sample specimens taken on this day (representing new cases) were confirmed to have the virus.","The total (cumulative) number of Covid-19 cases per 100,000 population reported to date (06 February) is <b>0</b> cases per 100,000 population. The new cases (swabbed on this date) represent <b>0</b> cases per 100,000 population</p><p><i>Note: the rate per 100,000 is rounded to the nearest whole number, and sometimes this can appear as zero even when there were some cases reported.</i>","The new cases for patients swabbed on this day represent <b>0%</b> of the total cumulative number of Covid-19 cases reported up to 06 February (<b>9</b>).","The rolling average number of cumulative cases in the last seven days is <b>6 cases</b>.","The rolling average number of new cases in the last seven days is <b>1  cases</b>.","No new cases","No new cases",-2,7,,,," The total (cumulative) number of cases on this day was 9","The doubling time is calculated using data for every 7 day period starting from the latest available complete date (26 May) back to the date on which the first confirmed patient was swabbed for testing. Although there are data for this day, there are not enough data points to calculate a doubling time."
"England",2020-02-07,"07 February","Complete",9,1,6.71428571428571,0.0160779809228682,0.954242509439325,0,0,"The total (cumulative) number of cases reported for people with specimens taken by this date (07 February) was 9. A total of 0 patients who had sample specimens taken on this day (representing new cases) were confirmed to have the virus.","The total (cumulative) number of Covid-19 cases per 100,000 population reported to date (07 February) is <b>0</b> cases per 100,000 population. The new cases (swabbed on this date) represent <b>0</b> cases per 100,000 population</p><p><i>Note: the rate per 100,000 is rounded to the nearest whole number, and sometimes this can appear as zero even when there were some cases reported.</i>","The new cases for patients swabbed on this day represent <b>0%</b> of the total cumulative number of Covid-19 cases reported up to 07 February (<b>9</b>).","The rolling average number of cumulative cases in the last seven days is <b>7 cases</b>.","The rolling average number of new cases in the last seven days is <b>1  cases</b>.","No new cases","No new cases",-1,8,,,," The total (cumulative) number of cases on this day was 9","The doubling time is calculated using data for every 7 day period starting from the latest available complete date (26 May) back to the date on which the first confirmed patient was swabbed for testing. Although there are data for this day, there are not enough data points to calculate a doubling time."
"England",2020-02-08,"08 February","Complete",12,1.42857142857143,8.14285714285714,0.0214373078971577,1.07918124604762,3,0.00535932697428941,"The total (cumulative) number of cases reported for people with specimens taken by this date (08 February) was 12. A total of 3 patients who had sample specimens taken on this day (representing new cases) were confirmed to have the virus.","The total (cumulative) number of Covid-19 cases per 100,000 population reported to date (08 February) is <b>0</b> cases per 100,000 population. The new cases (swabbed on this date) represent <b>0</b> cases per 100,000 population</p><p><i>Note: the rate per 100,000 is rounded to the nearest whole number, and sometimes this can appear as zero even when there were some cases reported.</i>","The new cases for patients swabbed on this day represent <b>25%</b> of the total cumulative number of Covid-19 cases reported up to 08 February (<b>12</b>).","The rolling average number of cumulative cases in the last seven days is <b>8 cases</b>.","The rolling average number of new cases in the last seven days is <b>1  cases</b>.","1-10 cases","No new cases",0,9,16,,,"This is the day that the total (cumulative) cases was 10 or more. The total (cumulative) number of cases on this day was 12","The doubling time is calculated using data for every 7 day period starting from the latest available complete date (26 May) back to the date on which the first confirmed patient was swabbed for testing. Although there are data for this day, there are not enough data points to calculate a doubling time."
